NAME,STATEFP,INTPTLAT,INTPTLON
Barry,29,+36.6993756,-093.8343344
Bartholomew,18,+39.2058430,-085.8979988
Barton,29,+37.5007989,-094.3440893
Barton,20,+38.4812394,-098.7678374
Bartow,13,+34.2409175,-084.8381879
Bastrop,48,+30.1007718,-097.3106392
Bates,29,+38.2572171,-094.3392459
Bath,51,+38.0683679,-079.7312032
Bath,21,+38.1522485,-083.7376405
Baxter,05,+36.2802684,-092.3299488
Bay,12,+30.1591402,-085.5343954
Bay,26,+43.6997112,-083.9787007
Bayamón,72,+18.3494195,-066.1686259
Bayfield,55,+46.6341992,-091.1772815
Baylor,48,+33.6188024,-099.2081888
Beadle,46,+44.4182649,-098.2794224
Bear Lake,16,+42.2858922,-111.3275168
Beaufort,37,+35.4823128,-076.8420144
Beaufort,45,+32.3581120,-080.6894218
Beauregard,22,+30.6450184,-093.3402526
Beaver,42,+40.6841401,-080.3507209
Beaver,49,+38.3575350,-113.2389481
Beaver,40,+36.7483343,-100.4830555
Beaverhead,30,+45.1338633,-112.8928694
Becker,27,+46.9376289,-095.7417568
Beckham,40,+35.2706008,-099.6900574
Bedford,47,+35.5136604,-086.4582939
Bedford,42,+39.9986336,-078.4947466
Bedford,51,+37.3122568,-079.5272234
Bee,48,+28.4160769,-097.7425858
Belknap,33,+43.5191091,-071.4253661
Bell,48,+31.0427497,-097.4812684
Bell,21,+36.7289281,-083.6807180
Belmont,39,+40.0176819,-080.9677268
Beltrami,27,+47.8795077,-095.0050500
Ben Hill,13,+31.7407715,-083.1471970
Benewah,16,+47.2184513,-116.6335414
Bennett,46,+43.1869121,-101.6771810
Bennington,50,+43.0353277,-073.1114959
Benson,38,+48.0717430,-099.3511517
Bent,08,+37.9318907,-103.0775841
Benton,18,+40.6009394,-087.3147863
Benton,28,+34.8095927,-089.2002130
Benton,41,+44.4938816,-123.4246641
Benton,19,+42.0925474,-092.0576300
Benton,27,+45.7012249,-094.0014397
Benton,53,+46.2281252,-119.5166594
Benton,05,+36.3378189,-094.2562984
Benton,47,+36.0709478,-088.0712321
Benton,29,+38.3010358,-093.2879421
Benzie,26,+44.6368444,-086.2319991
Bergen,34,+40.9596985,-074.0747272
Berkeley,45,+33.2077000,-079.9536554
Berkeley,54,+39.4479382,-078.0377535
Berks,42,+40.4139565,-075.9268598
Berkshire,25,+42.3714930,-073.2179276
Bernalillo,35,+35.0536280,-106.6690805
Berrien,13,+31.2886522,-083.2278695
Berrien,26,+41.7913818,-086.7425435
Bertie,37,+36.0590432,-076.9623641
Bethel,02,+60.9291413,-160.1526246
Bexar,48,+29.4486708,-098.5201465
Bibb,13,+32.8088446,-083.6941941
Bibb,01,+33.0158929,-087.1271475
Bienville,22,+32.3409517,-093.0411511
Big Horn,56,+44.5251167,-107.9948477
Big Horn,30,+45.4078679,-107.5181619
Big Stone,27,+45.4199252,-096.4022263
Billings,38,+47.0070440,-103.3640163
Bingham,16,+43.2163568,-112.3992058
Black Hawk,19,+42.4711317,-092.3076003
Blackford,18,+40.4726717,-085.3237297
Bladen,37,+34.5919375,-078.5394885
Blaine,16,+43.3941920,-113.9553713
Blaine,40,+35.8777951,-098.4290308
Blaine,31,+41.9319450,-099.9964074
Blaine,30,+48.4282823,-108.9676475
Blair,42,+40.4986828,-078.3095970
Blanco,48,+30.2662030,-098.3993321
Bland,51,+37.1306124,-081.1258532
Bleckley,13,+32.4354034,-083.3317174
Bledsoe,47,+35.5935612,-085.2059104
Blount,47,+35.6881849,-083.9229731
Blount,01,+33.9773575,-086.5664400
Blue Earth,27,+44.0337104,-094.0640122
Boise,16,+43.9872749,-115.7151105
Bolivar,28,+33.7991391,-090.8841199
Bollinger,29,+37.3184272,-090.0246452
Bon Homme,46,+42.9857990,-097.8841987
Bond,17,+38.8859240,-089.4365916
Bonner,16,+48.3246343,-116.6274498
Bonneville,16,+43.3951708,-111.6218783
Boone,54,+38.0228143,-081.7135382
Boone,29,+38.9898614,-092.3102022
Boone,31,+41.7039345,-098.0704764
Boone,21,+38.9589002,-084.7363707
Boone,05,+36.3042991,-093.0792364
Boone,17,+42.3189831,-088.8242951
Boone,19,+42.0386230,-093.9386050
Boone,18,+40.0508916,-086.4690137
Borden,48,+32.7385899,-101.4391990
Bosque,48,+31.9008189,-097.6376407
Bossier,22,+32.6984813,-093.6265609
Botetourt,51,+37.5654822,-079.7975457
Bottineau,38,+48.7944116,-100.8312572
Boulder,08,+40.0949663,-105.3977018
Boundary,16,+48.7731313,-116.5246676
Bourbon,21,+38.2025623,-084.2098602
Bourbon,20,+37.8560997,-094.8509284
Bowie,48,+33.4460648,-094.4223930
Bowman,38,+46.1101438,-103.5059433
Box Butte,31,+42.2103804,-103.0817795
Box Elder,49,+41.6226233,-113.0602520
Boyd,31,+42.8944477,-098.7730221
Boyd,21,+38.3600029,-082.6814057
Boyle,21,+37.6181043,-084.8683523
Bracken,21,+38.6803649,-084.1152351
Bradford,42,+41.7915044,-076.5021231
Bradford,12,+29.9523863,-082.1666983
Bradley,47,+35.1539144,-084.8594137
Bradley,05,+33.4665491,-092.1691559
Branch,26,+41.9184551,-085.0668852
Brantley,13,+31.1973339,-081.9829779
Braxton,54,+38.6993304,-080.7316597
Brazoria,48,+29.1678175,-095.4346470
Brazos,48,+30.6567132,-096.3023935
Breathitt,21,+37.5178069,-083.3171582
